14|0.4535573676110728,870|0.45355736761107274,813|0.3849001794597506,2433|0.3600000000000001,1296|0.35355339059327373,4401|0.30000000000000004,101|0.2984810028978546,46|0.29711254108328294,577|0.2857738033247042,1652|0.2857738033247042,3439|0.2857738033247042,149|0.28,232|0.28,505|0.28,41|0.27456258919345766,212|0.27456258919345766,72|0.2694301256218254,108|0.2694301256218254,511|0.2694301256218254,3494|0.2694301256218254,123|0.264575131106459,203|0.264575131106459,150|0.2599734734478726,1959|0.2599734734478726,1982|0.25584085962673253
29|0.4264014327112209,147|0.4085297439895141,2|0.3336230624913197,1100|0.32000000000000006,3336|0.32000000000000006,277|0.31304951684997057,219|0.3055050463303894,3884|0.29711254108328294,2398|0.2919201796799047,339|0.28577380332470415,2583|0.28284271247461906,695|0.2694301256218254,1084|0.2694301256218254,1727|0.2683281572999748,308|0.264575131106459,1083|0.25584085962673253,1610|0.25021729686848976,596|0.24494897427831788,1743|0.24494897427831788,248|0.24000000000000005,1234|0.24000000000000005,1675|0.23570226039551587,3|0.23533936216582085,65|0.23533936216582085,4638|0.23094010767585035
1|0.6091095901015049,199|0.5421374765483946,178|0.311187957132071,129|0.26086956521739135,13|0.25021729686848976,2474|0.23918243661746993,2100|0.22750787759664506,17|0.22227711223719354,262|0.22227711223719354,1390|0.2173913043478261,329|0.21281413268968719,330|0.21281413268968719,486|0.21281413268968719,840|0.21281413268968719,331|0.20064308847628204,32|0.19702760155977517,340|0.18650096164806276,467|0.18650096164806276,1658|0.18650096164806276,208|0.18200630207731605,2237|0.18200630207731605,62|0.17782168978975482,103|0.17782168978975482,2390|0.17782168978975482,508|0.1739130434782609
178|0.25584085962673253,12|0.25021729686848976,105|0.25021729686848976,199|0.24000000000000005,32|0.2267786838055363,1|0.21908902300206642,3490|0.21821789023599242,2357|0.2088931871468374,1594|0.2085144140570748,4070|0.2065591117977289,133|0.20000000000000004,1365|0.19611613513818404,1183|0.19402850002906638,278|0.18257418583505536,1583|0.17960530202677494,1509|0.17888543819998318,3159|0.17888543819998318,167|0.17457431218879393,498|0.17457431218879393,888|0.17457431218879393,1443|0.17457431218879393,2317|0.17457431218879393,3668|0.17457431218879393,3894|0.17457431218879393,4155|0.17457431218879393
9|0.6172133998483675,870|0.5357142857142856,10|0.4535573676110728,511|0.4000661320993193,182|0.40006613209931924,163|0.39285714285714274,203|0.39285714285714274,46|0.38602432348897797,813|0.36369648372665386,33|0.35714285714285704,79|0.35714285714285704,7|0.34503277967117707,2433|0.3401680257083045,16|0.3394221166510653,1192|0.3394221166510653,1296|0.3340765523905304,64|0.3335621924974955,174|0.32897584747988445,101|0.32232918561015206,126|0.32142857142857134,149|0.30237157840738177,38|0.29649972666444047,788|0.28571428571428564,4401|0.28347335475692037,111|0.27583864218368526
63|0.7171087882915775,109|0.4003203845127179,32|0.3335621924974955,1761|0.3202563076101743,336|0.3027027572983406,268|0.3019405424385589,1134|0.28644594961577313,78|0.2862512870383358,3723|0.28625128703833574,1999|0.27456258919345766,1112|0.2692307692307693,2678|0.2692307692307693,117|0.26419797463373906,241|0.2594372608313854,292|0.2594372608313854,742|0.2549249642552304,791|0.2508726030021272,3986|0.24535824603285925,1590|0.24268133584853774,3583|0.24268133584853774,1977|0.23897605969962163,3270|0.23897605969962163,591|0.23533936216582085,1117|0.23533936216582085,2156|0.23533936216582085
7|0.9181561700975337,79|0.6109598099719177,85|0.5743796858006127,26|0.5430753866417045,126|0.47519096331149147,174|0.4689790496105418,182|0.4493457343831842,511|0.4493457343831842,203|0.4412487516463849,169|0.4226819722058081,33|0.40730653998127836,46|0.4002224075790421,31|0.3951316644589048,68|0.3951316644589048,64|0.3874584745219908,129|0.3745029431365692,788|0.37336432831617183,38|0.35223497683817345,14|0.3394221166510653,870|0.3394221166510653,94|0.32328954364819484,1192|0.3225806451612904,782|0.3110855084191276,101|0.3063358324269934,2197|0.2996023545092554
199|0.2984810028978546,131|0.28603877677367767,167|0.23262105259961768,12|0.22227711223719354,71|0.22019275302527208,618|0.2175970699446223,1139|0.2175970699446223,482|0.21320071635561044,32|0.20145574100634503,1|0.19462473604038072,1581|0.19145989526687088,48|0.19069251784911845,75|0.19069251784911845,304|0.19069251784911845,1658|0.19069251784911845,80|0.18609684207969415,2343|0.18609684207969415,19|0.1818181818181818,98|0.1818181818181818,262|0.1818181818181818,791|0.1818181818181818,808|0.1818181818181818,836|0.1818181818181818,322|0.17782168978975482,746|0.17782168978975482
150|0.4068381021724862,342|0.3865006029094686,4401|0.3651483716701107,4448|0.3222516933177448,1344|0.30512857662936466,466|0.29319773580418684,2865|0.29211869733608864,1399|0.2921186973360886,70|0.28644594961577313,2047|0.2857738033247041,4796|0.2666666666666666,981|0.2656844656620286,1715|0.26233033431358116,1568|0.2608745973749755,2826|0.2608745973749755,4470|0.2513123449750173,2127|0.2459549291242073,193|0.2449489742783178,2991|0.24152294576982392,2623|0.24012009007506568,4651|0.23904572186687872,46|0.2373222262672836,3080|0.2357022603955158,52|0.23354968324845687,158|0.23354968324845687
22|0.8314971796756813,98|0.7727272727272725,262|0.5909090909090908,329|0.5222329678670935,330|0.5222329678670935,1230|0.25087260300212727,107|0.23262105259961768,1438|0.22227711223719354,1686|0.20906050250177272,3616|0.20145574100634506,3777|0.20100756305184242,467|0.19069251784911845,1296|0.18844459036110223,2343|0.18609684207969415,2437|0.1846372364689991,17|0.1818181818181818,138|0.1818181818181818,230|0.1818181818181818,950|0.1818181818181818,2390|0.1818181818181818,229|0.17782168978975482,322|0.17782168978975482,3385|0.17782168978975482,187|0.17407765595569785,413|0.17407765595569785
